According to Gran  the company has no plans to move all production to Russia  although that is where the company is growing,1,2
Technopolis plans to develop in stages an area of no less than 100000 square meters in order to host companies working in computer technologies and telecommunications  the statement said,1,2
The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers  the daily Postimees reported,0,2
With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,2,2
According to the company s updated strategy for the years 2009-2012  Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales,2,2
FINANCING OF ASPOCOMP S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs,2,2
For the last quarter of 2010  Componenta s net sales doubled to EUR131m from EUR76m for the same period a year earlier  while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m,2,2
In the third quarter of 2010  net sales increased by 52 % to EUR 2055 mn  and operating profit by 349 % to EUR 235 mn,2,2
Operating profit rose to EUR 131 mn from EUR 87 mn in the corresponding period in 2007 representing 77 % of net sales,2,2
Operating profit totalled EUR 211 mn  up from EUR 186 mn in 2007  representing 97 % of net sales,2,2
TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom s offering to its customers,2,2
STORA ENSO  NORSKE SKOG  M-REAL  UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups,2,2
A purchase agreement for 7200 tons of gasoline with delivery at the Hamina terminal  Finland  was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month,2,2
Finnish Talentum reports its operating profit increased to EUR 205 mn in 2005 from EUR 93 mn in 2004  and net sales totaled EUR 1033 mn  up from EUR 964 mn,2,2
Clothing retail chain Sepp+∆l+∆ s sales increased by 8 % to EUR 1552 mn  and operating profit rose to EUR 311 mn from EUR 171 mn in 2004,2,2
Consolidated net sales increased 16 % to reach EUR74 8 m  while operating profit amounted to EUR0 9 m compared to a loss of EUR0 7 m in the prior year period,2,2
Foundries division reports its sales increased by 97 % to EUR 631 mn from EUR 575 mn in the corresponding period in 2006  and sales of the Machine Shop division increased by 164 % to EUR 412 mn from EUR 354 mn in the corresponding period in 2006,2,2
HELSINKI ( AFX ) - Shares closed higher  led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets  and by Nokian Tyres after its fourth-quarter earnings report beat analysts  expectations  dealers said,2,2
Incap Contract Manufacturing Services Pvt Ltd  a subsidiary of Incap Corporation of Finland  plans to double its revenues by 2007-2008,2,2
Its board of directors will propose a dividend of EUR0 12 per share for 2010  up from the EUR0 08 per share paid in 2009,2,2
Lifetree was founded in 2000  and its revenues have risen on an average by 40 % with margins in late 30s,2,2
At the request of Finnish media company Alma Media s newspapers  research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland s national economy by using a model developed by the University of Denver,1,2
In Sweden  Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 %,1,2
The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production,1,2
When this investment is in place  Atria plans to expand into the Moscow market,1,2
The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group  whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo  and signed asimilar agreement   said Tatu Hauhio  managing director ofCramo Finland,1,2
At first the contract envisaged the construction of three ferryboats with an option for two more units  further confirmed at a total value of 500 mln euro ( $ 6458 mln ),2,2
In June it sold a 30 percent stake to Nordstjernan  and the investment group has now taken up the option to acquire EQT s remaining shares,1,2
KESKO CORPORATION STOCK EXCHANGE RELEASE 28022008 AT 0930 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd  a subsidiary wholly owned by Kesko,2,2
Sponda Plc Stock Exchange Release 5 December 2006 at 1545 EUR 15 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 15 billion,2,2
